season,age,team,games,minutes,FG%,3P%,FT,FT%,rebounds,points,player,RSorPO
1996,32,CHI,18,40.7,0.46,0.41,10.4,0.82,4.9,30.7,Michael Jordan,Playoffs
1997,33,CHI,19,42.3,0.45,0.2,7.8,0.83,7.9,31.1,Michael Jordan,Playoffs
1998,34,CHI,21,41.5,0.46,0.3,10.6,0.81,5.1,32.4,Michael Jordan,Playoffs
1997,18,LAL,71,15.5,0.42,0.37,2.3,0.83,1.9,7.6,Kobe Bryant,Regular Season
1998,19,LAL,79,26,0.42,0.32,5.8,0.79,3.1,15.4,Kobe Bryant,Regular Season
1999,20,LAL,50,37.9,0.46,0.25,5.8,0.84,5.3,19.9,Kobe Bryant,Regular Season
2000,21,LAL,66,38.2,0.47,0.32,6.1,0.82,6.3,22.5,Kobe Bryant,Regular Season
2001,22,LAL,68,40.9,0.46,0.31,8.2,0.85,5.9,28.5,Kobe Bryant,Regular Season
2002,23,LAL,80,38.3,0.47,0.24,7.4,0.82,5.5,25.2,Kobe Bryant,Regular Season
2003,24,LAL,82,41.5,0.45,0.38,8.7,0.84,6.9,30,Kobe Bryant,Regular Season
2004,25,LAL,65,37.6,0.44,0.33,8.2,0.85,5.5,24,Kobe Bryant,Regular Season
2005,26,LAL,66,40.7,0.43,0.34,10.1,0.81,5.9,27.6,Kobe Bryant,Regular Season
2006,27,LAL,80,41,0.45,0.35,10.2,0.85,5.3,35.4,Kobe Bryant,Regular Season
2007,28,LAL,77,40.8,0.46,0.35,10,0.87,5.7,31.6,Kobe Bryant,Regular Season
2008,29,LAL,82,38.9,0.46,0.35,9,0.84,6.3,28.3,Kobe Bryant,Regular Season
2009,30,LAL,82,36.1,0.47,0.34,6.9,0.86,5.2,26.8,Kobe Bryant,Regular Season
2010,31,LAL,73,38.8,0.46,0.34,7.4,0.81,5.4,27,Kobe Bryant,Regular Season
2011,32,LAL,82,33.9,0.45,0.33,7.1,0.83,5.1,25.3,Kobe Bryant,Regular Season
2012,33,LAL,58,38.5,0.43,0.31,7.8,0.85,5.4,27.9,Kobe Bryant,Regular Season
2013,34,LAL,78,38.6,0.47,0.33,8,0.84,5.6,27.3,Kobe Bryant,Regular Season
2014,35,LAL,6,29.5,0.43,0.19,3.5,0.86,4.3,13.8,Kobe Bryant,Regular Season
2015,36,LAL,35,34.5,0.37,0.28,6.9,0.81,5.7,22.3,Kobe Bryant,Regular Season
2016,37,LAL,66,28.2,0.36,0.28,4.3,0.81,3.7,17.6,Kobe Bryant,Regular Season
1997,18,LAL,9,14.8,0.38,0.27,3.3,0.88,1.2,8.2,Kobe Bryant,Playoffs
1998,19,LAL,11,20,0.41,0.23,4.1,0.68,1.9,8.7,Kobe Bryant,Playoffs
1999,20,LAL,8,39.4,0.43,0.34,4.4,0.8,6.9,19.8,Kobe Bryant,Playoffs
2000,21,LAL,22,39,0.44,0.34,5.7,0.75,4.5,21.1,Kobe Bryant,Playoffs
2001,22,LAL,16,43.4,0.47,0.33,9.4,0.83,7.3,29.4,Kobe Bryant,Playoffs
2002,23,LAL,19,43.8,0.43,0.39,7.6,0.76,5.8,26.6,Kobe Bryant,Playoffs
2003,24,LAL,12,44.3,0.43,0.4,8.7,0.83,5.1,32.1,Kobe Bryant,Playoffs
2004,25,LAL,22,44.2,0.41,0.25,7.5,0.81,4.7,24.5,Kobe Bryant,Playoffs
2006,27,LAL,7,44.9,0.5,0.4,6.9,0.77,6.3,27.9,Kobe Bryant,Playoffs
2007,28,LAL,5,43,0.46,0.36,7.4,0.92,5.2,32.8,Kobe Bryant,Playoffs
2008,29,LAL,21,41.1,0.48,0.3,9.2,0.82,5.7,30.1,Kobe Bryant,Playoffs
2009,30,LAL,23,40.9,0.46,0.35,8.6,0.88,5.3,30.2,Kobe Bryant,Playoffs
2010,31,LAL,23,40.1,0.46,0.37,8,0.84,6,29.2,Kobe Bryant,Playoffs
2011,32,LAL,10,35.4,0.45,0.29,6.1,0.82,3.4,22.8,Kobe Bryant,Playoffs
2012,33,LAL,12,39.7,0.44,0.28,7.9,0.84,4.8,30,Kobe Bryant,Playoffs
